source_node,target_node,number_of_removed_directed_edges,mean_removed_edge_distance_A,baseline_prediction,edge_removed_prediction,signed_output_change,absolute_output_change
53,72,2,2.49428129196167,0.15600550174713135,0.15564602613449097,-0.00035947561264038086,0.00035947561264038086
49,72,2,2.494279146194458,0.15600550174713135,0.15564602613449097,-0.00035947561264038086,0.00035947561264038086
37,72,2,2.4942808151245117,0.15600550174713135,0.15564602613449097,-0.00035947561264038086,0.00035947561264038086
23,72,2,2.11614727973938,0.15600550174713135,0.156286358833313,0.0002808570861816406,0.0002808570861816406
35,72,2,2.116149425506592,0.15600550174713135,0.1562863439321518,0.0002808421850204468,0.0002808421850204468
19,72,2,2.11614990234375,0.15600550174713135,0.1562863439321518,0.0002808421850204468,0.0002808421850204468
12,72,2,2.4086103439331055,0.15600550174713135,0.1562701165676117,0.0002646148204803467,0.0002646148204803467
16,72,2,2.4086127281188965,0.15600550174713135,0.1562701165676117,0.0002646148204803467,0.0002646148204803467
0,72,2,2.4086122512817383,0.15600550174713135,0.1562701165676117,0.0002646148204803467,0.0002646148204803467
1,37,2,1.9566494226455688,0.15600550174713135,0.15618160367012024,0.0001761019229888916,0.0001761019229888916
13,49,2,1.9566494226455688,0.15600550174713135,0.15618160367012024,0.0001761019229888916,0.0001761019229888916
17,53,2,1.9566494226455688,0.15600550174713135,0.15618160367012024,0.0001761019229888916,0.0001761019229888916
58,72,2,2.0552587509155273,0.15600550174713135,0.1558450162410736,-0.00016048550605773926,0.00016048550605773926
54,72,2,2.0552616119384766,0.15600550174713135,0.1558450162410736,-0.00016048550605773926,0.00016048550605773926
70,72,2,2.0552611351013184,0.15600550174713135,0.1558450162410736,-0.00016048550605773926,0.00016048550605773926
25,37,2,1.9490379095077515,0.15600550174713135,0.15616342425346375,0.00015792250633239746,0.00015792250633239746
33,53,2,1.9490385055541992,0.15600550174713135,0.15616340935230255,0.0001579076051712036,0.0001579076051712036
31,49,2,1.9490433931350708,0.15600550174713135,0.15616340935230255,0.0001579076051712036,0.0001579076051712036
35,70,2,1.9566494226455688,0.15600550174713135,0.15585418045520782,-0.00015132129192352295,0.00015132129192352295
23,58,2,1.9566494226455688,0.15600550174713135,0.15585418045520782,-0.00015132129192352295,0.00015132129192352295
19,54,2,1.9566494226455688,0.15600550174713135,0.15585419535636902,-0.0001513063907623291,0.0001513063907623291
16,52,2,1.9566494226455688,0.15600550174713135,0.1561385989189148,0.00013309717178344727,0.00013309717178344727
0,36,2,1.9566494226455688,0.15600550174713135,0.1561385989189148,0.00013309717178344727,0.00013309717178344727
12,48,2,1.9566494226455688,0.15600550174713135,0.1561385840177536,0.00013308227062225342,0.00013308227062225342
16,68,2,1.9490385055541992,0.15600550174713135,0.1561320275068283,0.00012652575969696045,0.00012652575969696045
12,66,2,1.9490433931350708,0.15600550174713135,0.15613201260566711,0.0001265108585357666,0.0001265108585357666
0,60,2,1.9490379095077515,0.15600550174713135,0.15613201260566711,0.0001265108585357666,0.0001265108585357666
35,53,2,1.9490433931350708,0.15600550174713135,0.15589958429336548,-0.00010591745376586914,0.00010591745376586914
19,37,2,1.9490433931350708,0.15600550174713135,0.15589958429336548,-0.00010591745376586914,0.00010591745376586914
23,37,2,1.9490385055541992,0.15600550174713135,0.15589959919452667,-0.00010590255260467529,0.00010590255260467529
23,53,2,1.9490379095077515,0.15600550174713135,0.15589959919452667,-0.00010590255260467529,0.00010590255260467529
19,49,2,1.9490379095077515,0.15600550174713135,0.15589959919452667,-0.00010590255260467529,0.00010590255260467529
35,49,2,1.9490385055541992,0.15600550174713135,0.15589959919452667,-0.00010590255260467529,0.00010590255260467529
10,70,2,1.9490379095077515,0.15600550174713135,0.15590301156044006,-0.00010249018669128418,0.00010249018669128418
4,58,2,1.9490433931350708,0.15600550174713135,0.15590301156044006,-0.00010249018669128418,0.00010249018669128418
2,54,2,1.9490385055541992,0.15600550174713135,0.15590301156044006,-0.00010249018669128418,0.00010249018669128418
12,54,2,1.9490379095077515,0.15600550174713135,0.15610487759113312,9.937584400177002e-05,9.937584400177002e-05
0,54,2,1.9490433931350708,0.15600550174713135,0.15610487759113312,9.937584400177002e-05,9.937584400177002e-05
