node_index,element,baseline_prediction,masked_prediction,absolute_output_change,distance_from_defect_A,is_explicit_defect_atom
35,Ga,0.15600550174713135,0.14622503519058228,0.009780466556549072,2.116149432226887,False
23,Ga,0.15600550174713135,0.14622505009174347,0.009780451655387878,2.116147283117517,False
19,Ga,0.15600550174713135,0.14622505009174347,0.009780451655387878,2.1161499481316737,False
12,Ga,0.15600550174713135,0.14689353108406067,0.009111970663070679,2.4086104521589142,False
16,Ga,0.15600550174713135,0.14689353108406067,0.009111970663070679,2.408612793576669,False
0,Ga,0.15600550174713135,0.14689353108406067,0.009111970663070679,2.4086123403149986,False
33,Ga,0.15600550174713135,0.14735502004623413,0.008650481700897217,3.827187069330845,False
25,Ga,0.15600550174713135,0.14735503494739532,0.008650466799736023,3.827185928306251,False
31,Ga,0.15600550174713135,0.14735503494739532,0.008650466799736023,3.827189146462558,False
13,Ga,0.15600550174713135,0.14740590751171112,0.008599594235420227,4.078607757955638,False
1,Ga,0.15600550174713135,0.14740590751171112,0.008599594235420227,4.078608873001239,False
17,Ga,0.15600550174713135,0.14740592241287231,0.008599579334259033,4.07860914067381,False
10,Ga,0.15600550174713135,0.14743809401988983,0.008567407727241516,3.9963329586295604,False
2,Ga,0.15600550174713135,0.14743810892105103,0.008567392826080322,3.9963340513596632,False
4,Ga,0.15600550174713135,0.14743810892105103,0.008567392826080322,3.996336040575708,False
22,Ga,0.15600550174713135,0.1475856602191925,0.008419841527938843,4.539274854254417,False
18,Ga,0.15600550174713135,0.1475856751203537,0.008419826626777649,4.5392760966478445,False
34,Ga,0.15600550174713135,0.1475856751203537,0.008419826626777649,4.539275856139939,False
32,Ga,0.15600550174713135,0.1475895792245865,0.00841592252254486,5.54745867422859,False
24,Ga,0.15600550174713135,0.1475895792245865,0.00841592252254486,5.547457887036745,False
30,Ga,0.15600550174713135,0.14758959412574768,0.008415907621383667,5.547460107240215,False
6,Ga,0.15600550174713135,0.1475900113582611,0.00841549038887024,5.1127236284833035,False
14,Ga,0.15600550174713135,0.1475900113582611,0.00841549038887024,5.112724696142245,False
