feature,PC1_loading,PC2_loading,PC1_absolute_loading,PC2_absolute_loading
is_pristine,-0.03540313820301008,0.005111881437653738,0.03540313820301008,0.005111881437653738
is_vacancy,0.04869585311540965,0.06253165704606581,0.04869585311540965,0.06253165704606581
is_antisite,0.029125496083227596,0.04501253783024144,0.029125496083227596,0.04501253783024144
is_substitutional,0.16004856608311152,0.032261074860656214,0.16004856608311152,0.032261074860656214
is_interstitial,-0.18044414519888796,-0.10634767516848907,0.18044414519888796,0.10634767516848907
number_of_elements,0.16004856608311183,0.032261074860656276,0.16004856608311183,0.032261074860656276
total_atoms_composition,-0.15437177181806222,-0.1078974845109025,0.15437177181806222,0.1078974845109025
mean_atomic_number,-0.09251216662621599,0.1685997694115155,0.09251216662621599,0.1685997694115155
std_atomic_number,-0.14168595195863684,0.12819965021339427,0.14168595195863684,0.12819965021339427
min_atomic_number,-0.029984957085168046,-0.14484853406054118,0.029984957085168046,0.14484853406054118
range_atomic_number,0.02998495708516805,0.14484853406054118,0.02998495708516805,0.14484853406054118
mean_atomic_mass,-0.09429002811892684,0.16941705286827505,0.09429002811892684,0.16941705286827505
std_atomic_mass,-0.14215248279965692,0.12786752468940757,0.14215248279965692,0.12786752468940757
min_atomic_mass,-0.029984957085168053,-0.14484853406054113,0.029984957085168053,0.14484853406054113
range_atomic_mass,0.029984957085168046,0.14484853406054113,0.029984957085168046,0.14484853406054113
mean_electronegativity,0.0063916912130614545,-0.10691622813456574,0.0063916912130614545,0.10691622813456574
std_electronegativity,0.11663968182778237,-0.09532705712570572,0.11663968182778237,0.09532705712570572
min_electronegativity,-0.13730718264505748,0.13616986316202137,0.13730718264505748,0.13616986316202137
max_electronegativity,0.05227519006855529,0.08763308772053678,0.05227519006855529,0.08763308772053678
range_electronegativity,0.14501911738136677,-0.05348404785924712,0.14501911738136677,0.05348404785924712
mean_atomic_radius_A,-0.018511683001629673,0.10870470220264505,0.018511683001629673,0.10870470220264505
std_atomic_radius_A,0.0904853073710097,-0.10263398690130543,0.0904853073710097,0.10263398690130543
min_atomic_radius_A,-0.052275190068555306,-0.0876330877205368,0.052275190068555306,0.0876330877205368
max_atomic_radius_A,0.13730718264505745,-0.13616986316202137,0.13730718264505745,0.13616986316202137
range_atomic_radius_A,0.14840159280438475,-0.11276137397000573,0.14840159280438475,0.11276137397000573
mean_row,-0.07394631095084243,0.15785535044696292,0.07394631095084243,0.15785535044696292
std_row,-0.1489844170074035,0.12934089303929963,0.1489844170074035,0.12934089303929963
mean_group,-0.10914750749815161,0.07456089717127597,0.10914750749815161,0.07456089717127597
std_group,0.13788078092085074,-0.13472182056798107,0.13788078092085074,0.13472182056798107
min_group,-0.13730718264505748,0.13616986316202137,0.13730718264505748,0.13616986316202137
max_group,0.052275190068555306,0.08763308772053681,0.052275190068555306,0.08763308772053681
range_group,0.14239610694475774,-0.12850701834650893,0.14239610694475774,0.12850701834650893
fraction_Ga,-0.1057199029166137,0.1741596404600375,0.1057199029166137,0.1741596404600375
count_Ga,-0.16118120478793826,0.09696254470224137,0.16118120478793826,0.09696254470224137
fraction_N,-0.009026710165641256,-0.1972891764830661,0.009026710165641256,0.1972891764830661
