node_index,element,baseline_prediction,masked_prediction,absolute_output_change
35,Ga,0.15600550174713135,0.14622503519058228,0.009780466556549072
23,Ga,0.15600550174713135,0.14622505009174347,0.009780451655387878
19,Ga,0.15600550174713135,0.14622505009174347,0.009780451655387878
12,Ga,0.15600550174713135,0.14689353108406067,0.009111970663070679
16,Ga,0.15600550174713135,0.14689353108406067,0.009111970663070679
0,Ga,0.15600550174713135,0.14689353108406067,0.009111970663070679
33,Ga,0.15600550174713135,0.14735502004623413,0.008650481700897217
25,Ga,0.15600550174713135,0.14735503494739532,0.008650466799736023
31,Ga,0.15600550174713135,0.14735503494739532,0.008650466799736023
13,Ga,0.15600550174713135,0.14740590751171112,0.008599594235420227
1,Ga,0.15600550174713135,0.14740590751171112,0.008599594235420227
17,Ga,0.15600550174713135,0.14740592241287231,0.008599579334259033
10,Ga,0.15600550174713135,0.14743809401988983,0.008567407727241516
2,Ga,0.15600550174713135,0.14743810892105103,0.008567392826080322
4,Ga,0.15600550174713135,0.14743810892105103,0.008567392826080322
22,Ga,0.15600550174713135,0.1475856602191925,0.008419841527938843
18,Ga,0.15600550174713135,0.1475856751203537,0.008419826626777649
34,Ga,0.15600550174713135,0.1475856751203537,0.008419826626777649
32,Ga,0.15600550174713135,0.1475895792245865,0.00841592252254486
24,Ga,0.15600550174713135,0.1475895792245865,0.00841592252254486
30,Ga,0.15600550174713135,0.14758959412574768,0.008415907621383667
6,Ga,0.15600550174713135,0.1475900113582611,0.00841549038887024
14,Ga,0.15600550174713135,0.1475900113582611,0.00841549038887024
8,Ga,0.15600550174713135,0.1475900262594223,0.008415475487709045
3,Ga,0.15600550174713135,0.14759844541549683,0.008407056331634521
11,Ga,0.15600550174713135,0.14759844541549683,0.008407056331634521
5,Ga,0.15600550174713135,0.14759844541549683,0.008407056331634521
21,Ga,0.15600550174713135,0.14760130643844604,0.008404195308685303
29,Ga,0.15600550174713135,0.14760132133960724,0.008404180407524109
27,Ga,0.15600550174713135,0.14760132133960724,0.008404180407524109
26,Ga,0.15600550174713135,0.14768515527248383,0.008320346474647522
28,Ga,0.15600550174713135,0.14768515527248383,0.008320346474647522
20,Ga,0.15600550174713135,0.14768517017364502,0.008320331573486328
7,Ga,0.15600550174713135,0.1477275937795639,0.008277907967567444
15,Ga,0.15600550174713135,0.1477275937795639,0.008277907967567444
9,Ga,0.15600550174713135,0.1477275937795639,0.008277907967567444
72,Ga,0.15600550174713135,0.15007761120796204,0.0059278905391693115
70,N,0.15600550174713135,0.1537691056728363,0.002236396074295044
58,N,0.15600550174713135,0.1537691056728363,0.002236396074295044
54,N,0.15600550174713135,0.1537691056728363,0.002236396074295044
49,N,0.15600550174713135,0.15378497540950775,0.002220526337623596
37,N,0.15600550174713135,0.15378499031066895,0.0022205114364624023
53,N,0.15600550174713135,0.15378499031066895,0.0022205114364624023
52,N,0.15600550174713135,0.1549859195947647,0.0010195821523666382
36,N,0.15600550174713135,0.1549859344959259,0.0010195672512054443
48,N,0.15600550174713135,0.1549859344959259,0.0010195672512054443
60,N,0.15600550174713135,0.15507078170776367,0.0009347200393676758
68,N,0.15600550174713135,0.15507078170776367,0.0009347200393676758
66,N,0.15600550174713135,0.15507079660892487,0.0009347051382064819
39,N,0.15600550174713135,0.15538400411605835,0.000621497631072998
41,N,0.15600550174713135,0.15538400411605835,0.000621497631072998
47,N,0.15600550174713135,0.15538401901721954,0.0006214827299118042
57,N,0.15600550174713135,0.1556444764137268,0.000361025333404541
63,N,0.15600550174713135,0.155644491314888,0.00036101043224334717
65,N,0.15600550174713135,0.155644491314888,0.00036101043224334717
46,N,0.15600550174713135,0.15564778447151184,0.00035771727561950684
40,N,0.15600550174713135,0.15564779937267303,0.000357702374458313
38,N,0.15600550174713135,0.15564781427383423,0.00035768747329711914
62,N,0.15600550174713135,0.1556510627269745,0.00035443902015686035
64,N,0.15600550174713135,0.15565109252929688,0.00035440921783447266
56,N,0.15600550174713135,0.15565109252929688,0.00035440921783447266
50,N,0.15600550174713135,0.15568296611309052,0.0003225356340408325
44,N,0.15600550174713135,0.1556829810142517,0.00032252073287963867
42,N,0.15600550174713135,0.1556829810142517,0.00032252073287963867
61,N,0.15600550174713135,0.1558690071105957,0.00013649463653564453
69,N,0.15600550174713135,0.1558690071105957,0.00013649463653564453
67,N,0.15600550174713135,0.1558690071105957,0.00013649463653564453
59,N,0.15600550174713135,0.15587139129638672,0.0001341104507446289
55,N,0.15600550174713135,0.15587139129638672,0.0001341104507446289
71,N,0.15600550174713135,0.15587139129638672,0.0001341104507446289
43,N,0.15600550174713135,0.15592679381370544,7.870793342590332e-05
51,N,0.15600550174713135,0.15592679381370544,7.870793342590332e-05
45,N,0.15600550174713135,0.15592680871486664,7.869303226470947e-05
